DATE,shift start time,shift end time,first sunrise,first sunset,second_sunrise,Darkness (minutes),% of Shift
2022-04-01,23:30:00,07:30:00,08:59:27,20:14:30,2022-04-02 08:59:27,480,100
2022-04-02,07:30:00,15:30:00,08:59:27,20:14:30,,89.5,18.6
2022-04-02,15:30:00,23:30:00,08:59:27,20:14:30,,195.5,40.7
2022-04-02,23:30:00,07:30:00,09:00:30,20:12:51,2022-04-03 09:00:30,480,100
2022-04-03,07:30:00,15:30:00,09:00:30,20:12:51,,90.5,18.9
2022-04-03,15:30:00,23:30:00,09:00:30,20:12:51,,197.2,41.1
2022-04-03,23:30:00,07:30:00,09:01:32,20:11:13,2022-04-04 09:01:32,480,100
2022-04-04,07:30:00,15:30:00,09:01:32,20:11:13,,91.5,19.1
2022-04-04,15:30:00,23:30:00,09:01:32,20:11:13,,198.8,41.4
2022-04-04,23:30:00,07:30:00,09:02:35,20:09:35,2022-04-05 09:02:35,480,100
2022-04-05,07:30:00,15:30:00,09:02:35,20:09:35,,92.6,19.3
2022-04-05,15:30:00,23:30:00,09:02:35,20:09:35,,200.4,41.8
2022-04-05,23:30:00,07:30:00,09:03:37,20:07:58,2022-04-06 09:03:37,480,100
2022-04-06,07:30:00,15:30:00,09:03:37,20:07:58,,93.6,19.5
2022-04-06,15:30:00,23:30:00,09:03:37,20:07:58,,202.0,42.1
2022-04-06,23:30:00,07:30:00,09:04:40,20:06:21,2022-04-07 09:04:40,480,100
2022-04-07,07:30:00,15:30:00,09:04:40,20:06:21,,94.7,19.7
2022-04-07,15:30:00,23:30:00,09:04:40,20:06:21,,203.7,42.4
2022-04-07,23:30:00,07:30:00,09:05:43,20:04:45,2022-04-08 09:05:43,480,100
2022-04-08,07:30:00,15:30:00,09:05:43,20:04:45,,95.7,19.9
2022-04-08,15:30:00,23:30:00,09:05:43,20:04:45,,205.3,42.8
2022-04-08,23:30:00,07:30:00,09:06:46,20:03:09,2022-04-09 09:06:46,480,100
2022-04-09,07:30:00,15:30:00,09:06:46,20:03:09,,96.8,20.2
2022-04-09,15:30:00,23:30:00,09:06:46,20:03:09,,206.9,43.1
2022-04-09,23:30:00,07:30:00,09:07:48,20:01:34,2022-04-10 09:07:48,480,100
2022-04-10,07:30:00,15:30:00,09:07:48,20:01:34,,97.8,20.4
2022-04-10,15:30:00,23:30:00,09:07:48,20:01:34,,208.4,43.4
2022-04-10,23:30:00,07:30:00,09:08:51,19:59:59,2022-04-11 09:08:51,480,100
2022-04-11,07:30:00,15:30:00,09:08:51,19:59:59,,98.9,20.6
2022-04-11,15:30:00,23:30:00,09:08:51,19:59:59,,210.0,43.8
2022-04-11,23:30:00,07:30:00,09:09:54,19:58:25,2022-04-12 09:09:54,480,100
2022-04-12,07:30:00,15:30:00,09:09:54,19:58:25,,99.9,20.8
